Afghanistan ;31056997;647500;48.0;0.0;23.1;163.1;700;36.0;3.2;12.1;0.2;87.7;1.0;46.6;20.3;0.4;0.2;0.4
Albania ;3581655;28748;124.6;1.3;-4.9;21.5;4500;86.5;71.2;21.1;4.4;74.5;3.0;15.1;5.2;0.2;0.2;0.6
Algeria ;32930091;2381740;13.8;0.0;-0.4;31.0;6000;70.0;78.1;3.2;0.3;96.5;1.0;17.1;4.6;0.1;0.6;0.3
American Samoa ;57794;199;290.4;58.3;-20.7;9.3;8000;97.0;259.5;10.0;15.0;75.0;2.0;22.5;3.3;0.0;0.0;0.0
Andorra ;71201;468;152.1;0.0;6.6;4.1;19000;100.0;497.2;2.2;0.0;97.8;3.0;8.7;6.3;0.0;0.0;0.0
Angola ;12127071;1246700;9.7;0.1;0.0;191.2;1900;42.0;7.8;2.4;0.2;97.3;0.0;45.1;24.2;0.1;0.7;0.2
Anguilla ;13477;102;132.1;59.8;10.8;21.0;8600;95.0;460.0;0.0;0.0;100.0;2.0;14.2;5.3;0.0;0.2;0.8
Antigua & Barbuda ;69108;443;156.0;34.5;-6.2;19.5;11000;89.0;549.9;18.2;4.6;77.3;2.0;16.9;5.4;0.0;0.2;0.7
Argentina ;39921833;2766890;14.4;0.2;0.6;15.2;11200;97.1;220.4;12.3;0.5;87.2;3.0;16.7;7.6;0.1;0.4;0.5
Armenia ;2976372;29800;99.9;0.0;-6.5;23.3;3500;98.6;195.7;17.5;2.3;80.2;4.0;12.1;8.2;0.2;0.3;0.4
Aruba ;71891;193;372.5;35.5;0.0;5.9;28000;97.0;516.1;10.5;0.0;89.5;2.0;11.0;6.7;0.0;0.3;0.7
Australia ;20264082;7686850;2.6;0.3;4.0;4.7;29000;100.0;565.5;6.6;0.0;93.4;1.0;12.1;7.5;0.0;0.3;0.7
Austria ;8192880;83870;97.7;0.0;2.0;4.7;30000;98.0;452.2;16.9;0.9;82.2;3.0;8.7;9.8;0.0;0.3;0.7
Azerbaijan ;7961619;86600;91.9;0.0;-4.9;81.7;3400;97.0;137.1;19.6;2.7;77.7;1.0;20.7;9.8;0.1;0.5;0.4
Bahamas. The ;303770;13940;21.8;25.4;-2.2;25.2;16700;95.6;460.6;0.8;0.4;98.8;2.0;17.6;9.1;0.0;0.1;0.9
